theta_peak_freq,Aperiodic_mode,Counts
7.070866764329497,Fixed,50
5.313229329157284,Fixed,62
7.614026310289412,Fixed,2
7.13574164836656,Fixed,65
7.173253000924891,Fixed,146
6.764506931550888,Fixed,78
7.116605214401565,Fixed,163
6.087393337665513,Fixed,84
5.898515168453809,Fixed,65
7.222082396826312,Fixed,115
7.106671582940412,Fixed,53
7.0033541204698935,Fixed,144
6.67912481055837,Fixed,81
6.13309129576839,Fixed,28
6.436176075280749,Fixed,70
6.772386459461502,Fixed,137
5.867871943912787,Fixed,32
6.373987765922418,Fixed,60
6.7099711978480805,Fixed,90
7.028701428430545,Fixed,102
5.651520409095348,Fixed,125
7.252496613745533,Fixed,70
6.577656854833284,Fixed,52
6.256188100813349,Fixed,83
6.486040916571588,Fixed,43
6.308323566561664,Fixed,175
7.650096633425022,Fixed,154
6.747557159924251,Fixed,131
6.316492863135599,Fixed,146
6.0784642122208945,Fixed,24
6.769910418881034,Fixed,33
7.167065079312321,Fixed,141
6.566678762099095,Fixed,41
6.251243509303235,Fixed,7
6.836894495871443,Fixed,10
7.147530580403519,Fixed,193
6.565490809384976,Fixed,63
6.565862654977576,Fixed,41
5.969689207987221,Fixed,103
6.646787365562106,Fixed,62
6.280807778537646,Fixed,108
6.470745520586979,Fixed,100
7.014209850754755,Fixed,84
5.441097480956969,Fixed,151
6.744384762413598,Fixed,142
7.000850544360248,Fixed,16
5.714327824442237,Fixed,15
6.610500532971633,Fixed,64
6.281484374176838,Fixed,66
6.326590225076132,Fixed,66
7.6389535618639925,Fixed,155
7.001110845361246,Fixed,108
6.399081957682704,Fixed,116
6.379187393672525,Fixed,154
6.2798373736806425,Fixed,42
6.301211351711201,Fixed,60
6.313860439191928,Fixed,38
6.336836456865256,Fixed,132
6.674965038962806,Fixed,144
6.924209134388948,Fixed,38
7.701077915542417,Fixed,128
7.471933162516483,Fixed,15
6.848780458315604,Fixed,2
7.10806681647361,Fixed,54
4.487795093523027,Fixed,19
5.79885232813985,Fixed,112
6.295297447911812,Fixed,128
6.949546331136711,Fixed,87
5.805675908129511,Fixed,93
7.158568906220761,Fixed,12
7.195699893024742,Fixed,125
7.751886589816638,Fixed,173
6.382560211226628,Fixed,110
7.162694913792914,Fixed,27
5.7542736046801926,Fixed,175
6.813792991106837,Fixed,99
6.378681676494393,Fixed,90
7.132586612723901,Fixed,78
7.41477187190569,Fixed,72
6.709277682048245,Fixed,18
7.1543408552041114,Fixed,12
4.4150481166663855,Fixed,101
7.390338391674352,Fixed,75
7.605574156840659,Fixed,140
6.589547904396788,Fixed,59
6.8359067117350225,Fixed,40
7.0497885614727345,Fixed,138
7.269165808127186,Fixed,85
6.798640532231724,Fixed,185
7.0538358892233965,Fixed,157
6.8336833545775635,Fixed,101
6.209753184831873,Fixed,33
7.257259386671305,Fixed,41
5.9523479118287606,Fixed,53
6.9097845372423325,Fixed,56
6.862765151035768,Fixed,86
7.065386407134318,Fixed,18
7.3745832685028025,Fixed,90
7.255227305875001,Fixed,28
7.319441367992829,Fixed,95
6.220696761026301,Fixed,129
6.770827509584928,Fixed,160
6.465406661627344,Fixed,86
7.754189174519076,Fixed,77
6.878581863310064,Fixed,19
7.814878332341128,Fixed,175
7.465075318597038,Fixed,34
6.026019687340876,Fixed,84
6.844064771796023,Fixed,132
7.209121954632505,Fixed,47
5.115735174156411,Fixed,27
6.650476789640424,Fixed,64
6.451797921451923,Fixed,139
6.94773209934479,Fixed,30
7.793594316077599,Fixed,14
6.595536668803437,Fixed,31
6.247495597989774,Fixed,77
6.8031172192444584,Fixed,70
6.837940880114619,Fixed,130
6.128932778853049,Fixed,86
7.2429047540657345,Fixed,200
5.042492170161673,Fixed,9
6.77698886513125,Fixed,196
6.725967961281895,Fixed,181
6.648571657215613,Fixed,112
5.7608980710003195,Fixed,138
5.672520356540342,Fixed,5
7.539625808565176,Fixed,110
7.064686767995871,Fixed,31
6.967226532843941,Fixed,75
6.939510803913629,Fixed,4
5.161821573749807,Fixed,34
5.486338858958382,Fixed,29
7.7546893780357875,Fixed,80
6.927884433616529,Fixed,89
5.448111095980214,Fixed,20
6.718432678990771,Fixed,47
7.184452285250193,Fixed,166
7.550955331781887,Fixed,99
